first,mid,last,city,state,birth date
Yoda,F,Davies,Washington,DC,03/07/02
Jon,L,Gerrera,Arlington,VA,05/18/97
Beyonce,L,Gamgee,St. Marys,MD,05/07/92
Yoda,E,Organa,Raleigh,NC,12/27/00
Galen,Q,Trump,Pittsburgh,PA,04/25/87
Laura,R,Agathon,Salisbury,MD,02/20/02
Bilbo,Y,Incredible,Hilton Head,SC,10/11/84
Halo,Y,Gerrera,Charlottesville,VA,11/27/82
Bruce,Z,Incredible,Baltimore,MD,11/09/96
Karen,A,Andor,Stafford,VA,08/13/02
Tony,A,Greyjoy,Harrisburg,PA,04/08/02
Karen,C,Tyrol,Baltimore,MD,01/01/92
Saruman,Z,Wickham,Washington,DC,08/26/02
Wash,Y,Baggins,Geneva,NY,06/20/99
Jamie,P,Agathon,Blacksburg,VA,10/29/94
Luke,G,Finlayson,Arlington,VA,10/16/96
Legolas,L,Polack,Lynchburg,VA,06/19/84
Saw,L,Targaryen,Harrisburg,PA,01/03/96
Gandalf,U,Greyjoy,Wilmington,NC,05/24/91
Natasha,Z,Organa,Washington,DC,08/03/90
Halo,E,Vale,Charlotte,NC,06/18/90
Robb,X,Adama,Greensboro,NC,07/12/90
Chirrut,G,Wickham,Faquier,VA,07/25/83
Halo,J,Thrace,Salisbury,MD,05/30/02
Daenerys,B,Wickham,Greensboro,NC,06/08/02
Daenerys,I,Roslin,Charlottesville,VA,05/26/80
Taylor,L,Gerrera,Faquier,VA,02/25/02
Mal,Q,Marshall,Richmond,VA,08/06/00
Jay,L,Wickham,Fredericksburg,VA,03/02/91
Jyn,O,Aniston,Washington,DC,12/23/02
Jyn,H,Erso,Hershey,PA,12/07/98
Arwen,P,Vale,Salisbury,MD,11/17/94
Frodo,V,Rock,Pittsburgh,PA,11/26/90
Cersei,E,Anewalt,Washington,DC,01/12/87
Matt,H,Tarkin,Hilton Head,SC,05/25/00
Matt,Y,Perry,Charlotte,NC,03/18/85
Obi-wan,P,Stark,Greenville,SC,12/28/89
Chirrut,N,Tarkin,Baltimore,MD,03/17/82
Arwen,E,Rook,Charlottesville,VA,12/05/86
Aragorn,T,Agathon,Raleigh,NC,01/20/02
Beyonce,G,Malbus,Blacksburg,VA,12/01/00
Obi-wan,D,Incredible,Albany,NY,04/07/98
Yoda,C,Tyrol,Spotsylvania,VA,01/10/02
Frodo,D,Lannister,Asheville,NC,04/05/95
Beyonce,U,Roslin,Fredericksburg,VA,05/27/02
Saruman,M,Greyjoy,Lynchburg,VA,12/16/01
Gandalf,N,Thrace,Stafford,VA,02/22/97
Cersei,O,Davies,Annapolis,MD,03/27/02
Luke,Z,Baltar,Baltimore,MD,03/26/73
Chirrut,M,Thrace,Wilmington,NC,09/01/86
Gimli,J,Swift,Geneva,NY,03/15/99
Andrew,I,Imwe,York,PA,12/25/01
Bodhi,E,Wickham,St. Marys,MD,05/28/02
Lady,O,Kenobi,Raleigh,NC,06/25/97
Natasha,J,Ravishankar,Alexandria,VA,05/16/01
Anakin,W,Skywalker,Brooklyn,NY,02/13/02
Gaius,B,Perry,Annapolis,MD,11/22/02
Chirrut,N,Ravishankar,Charlotte,NC,04/04/82
Merry,C,Trump,Alexandria,VA,10/22/86
Aragorn,X,Gerrera,Salisbury,MD,02/20/86
Jennifer,W,Tyrol,Salisbury,MD,10/28/02
Galen,E,Agathon,Blacksburg,VA,05/03/84
Karen,X,Targaryen,Fredericksburg,VA,11/10/02
